,ids,exp
0,1025,607
1,513,443
2,1107,299
3,1106,544
4,1134,11
5,851,219
6,853,72
7,2651,1325
8,1204,59
9,802,492
10,1173,338
11,2557,539
12,2511,380
13,1820,97
14,1384,74
15,346,333
16,2110,105
17,2541,122
18,1120,805
19,309,321
20,579,684
21,2203,588
22,1574,141
23,2884,86
24,466,604
25,1215,204
26,1179,28
27,1420,161
28,1832,94
29,1428,78
30,575,714
31,1476,23
32,1453,119
33,1989,4
34,1516,83
35,2238,19
36,2518,38
37,580,105
38,1003,82
39,1906,57
40,1108,327
41,1258,163
42,2898,169
43,2775,104
44,47,41
45,1449,666
46,2216,4
47,971,133
48,2227,21
49,1029,131
50,3429,63
51,2228,15
52,147,48
53,3029,66
54,1539,69
55,1178,514
56,2495,70
57,537,74
58,1740,14
59,2162,233
60,1959,30
61,595,18
62,169,5
63,2078,66
64,1781,91
65,3031,98
66,2230,22
67,1019,17
68,741,13
69,3157,2
70,724,2
71,1613,97
72,334,55
73,1504,101
74,486,55
75,216,284
76,1618,87
77,1743,69
78,2128,52
79,2202,128
80,354,77
81,964,100
82,581,32
83,1727,31
84,957,46
85,187,5
86,332,12
87,526,3
88,1945,6
89,2362,16
90,810,15
91,3,2
92,1840,43
93,2885,22
94,1782,65
95,1260,41
96,1094,192
97,1210,32
98,1294,89
99,3186,52
100,799,29
101,2055,32
102,1143,127
103,572,51
104,3318,71
105,2159,47
106,1155,219
107,1295,230
108,228,27
109,2892,18
110,33,160
111,1007,81
112,593,535
113,859,172
114,1148,262
115,1110,368
116,2743,41
117,2665,10
118,2332,13
119,1052,52
120,1124,218
121,3461,26
122,1252,37
123,2660,39
124,227,1
125,2262,91
126,1445,69
127,1186,94
128,1773,51
129,1383,5
130,1702,2
131,2174,8
132,1599,6
133,1199,125
134,849,109
135,1964,68
136,1135,72
137,2058,34
138,413,2
139,1776,26
140,1502,12
141,495,4
142,3446,3
143,443,191
144,2160,150
145,1774,115
146,159,60
147,2508,58
148,329,43
149,3550,221
150,2118,1
151,2231,80
152,528,5
153,224,26
154,2623,10
155,1333,2
156,1924,80
157,2438,41
158,863,303
159,2592,254
160,2012,22
161,966,24
162,3294,74
163,1456,7
164,702,66
165,3341,661
166,3383,251
167,2374,400
168,1584,36
169,2488,42
170,1166,97
171,107,188
172,287,213
173,1594,63
174,2099,191
175,156,22
176,3248,150
177,20,54
178,1848,533
179,865,12
180,3441,44
181,357,62
182,1696,38
183,1020,12
184,1104,184
185,1485,488
186,1139,110
187,1158,62
188,3238,72
189,1288,71
190,713,270
191,3250,10
192,1190,104
193,2943,4
194,3384,52
195,2483,17
196,2426,104
197,967,34
198,1826,53
199,843,201
200,1175,89
201,1478,227
202,1130,61
203,852,215
204,2701,122
205,2480,190
206,2519,162
207,2958,362
208,3303,17
209,2513,7
210,2554,6
211,576,74
212,1934,35
213,106,396
214,367,46
215,283,13
216,510,30
217,1877,16
218,2096,28
219,3266,55
220,2213,63
221,2855,34
222,1129,103
223,2586,119
224,1167,119
225,1508,52
226,1212,220
227,2816,9
228,908,133
229,1114,43
230,1012,92
231,885,3
232,3133,28
233,40,3
234,2785,545
235,1979,61
236,1160,185
237,1394,54
238,338,25
239,3134,94
240,2990,27
241,50,20
242,1059,259
243,2201,82
244,968,26
245,1837,10
246,3315,10
247,970,58
248,1902,4
249,2102,38
250,525,94
251,308,25
252,10,76
253,1457,19
254,2889,50
255,3026,2
256,1843,31
257,582,36
258,3203,63
259,2583,2
260,858,227
261,1250,15
262,253,733
263,737,254
264,1737,84
265,1273,89
266,745,42
267,1406,94
268,1277,49
269,2741,30
270,1732,22
271,3114,7
272,3274,23
273,894,29
274,1164,37
275,3020,16
276,3382,4
277,2108,44
278,2212,32
279,1276,134
280,1125,72
281,2819,68
282,2333,48
283,2400,213
284,2565,40
285,2346,58
286,2803,30
287,2599,79
288,1196,67
289,2710,81
290,1132,37
291,1123,99
292,3619,22
293,3650,8
294,1342,6
295,1356,21
296,3377,40
297,3486,6
298,3131,36
299,2882,17
300,3216,37
301,1919,47
302,460,76
303,1018,72
304,2013,20
305,1111,34
306,2261,40
307,2210,10
308,2318,34
309,2740,21
310,1839,48
311,1116,37
312,1883,45
313,1024,63
314,1200,19
315,2981,59
316,1023,20
317,1066,88
318,3309,124
319,708,29
320,3197,13
321,1563,185
322,627,117
