,ids,exp
0,2287,181
1,1214,167
2,1386,431
3,1300,52
4,1747,77
5,2627,346
6,1526,241
7,3698,57
8,2531,83
9,3931,76
10,3667,721
11,1187,230
12,356,198
13,1078,278
14,347,101
15,1642,66
16,1913,32
17,2323,213
18,264,36
19,3605,108
20,1243,9
21,2177,2
22,3092,25
23,1948,1
24,3200,63
25,1229,225
26,897,6
27,2185,258
28,3909,5
29,3466,4
30,479,527
31,109,248
32,1197,392
33,1239,413
34,857,595
35,1035,201
36,1269,681
37,295,82
38,1220,342
39,348,73
40,588,518
41,2570,413
42,1213,294
43,1579,429
44,540,198
45,1199,156
46,3071,228
47,1568,127
48,0,483
49,3254,128
50,1306,70
51,3107,155
52,2917,57
53,3262,97
54,3684,43
55,1275,263
56,2242,23
57,1040,168
58,2351,109
59,2564,4
60,3621,27
61,3682,128
62,911,967
63,1195,722
64,1192,968
65,2857,1044
66,907,562
67,3094,695
68,1207,354
69,1616,459
70,1783,268
71,1392,164
72,2541,214
73,1196,337
74,2395,688
75,1960,297
76,1355,251
77,1543,184
78,328,176
79,3403,179
80,2616,91
81,1375,137
82,2528,247
83,111,83
84,254,88
85,3809,177
86,1720,143
87,2881,187
88,222,124
89,314,102
90,2713,190
91,1506,13
92,2559,192
93,2840,284
94,2571,74
95,69,67
96,207,81
97,1430,45
98,1290,88
99,2042,49
100,259,628
101,1303,153
102,706,405
103,3434,251
104,1209,628
105,948,87
106,1609,208
107,2693,415
108,2354,574
109,2804,368
110,2598,368
111,2721,438
112,2187,441
113,2769,125
114,2484,225
115,3174,386
116,2796,102
117,1607,57
118,1219,33
119,1916,120
120,804,145
121,1296,55
122,3253,188
123,932,123
124,3518,106
125,1379,51
126,1246,223
127,2079,26
128,1230,21
129,38,45
130,851,139
131,2330,11
132,777,24
133,561,7
134,596,86
135,2698,71
136,2052,129
137,3792,247
138,2139,6
139,3299,368
140,1830,20
141,9,162
142,2027,572
143,526,364
144,317,281
145,1178,15
146,1623,126
147,2356,7
148,307,10
149,1965,36
150,306,6
151,2996,939
152,3746,36
153,1263,2
154,10,87
155,2670,43
156,2327,78
157,1205,82
158,2552,62
159,2454,16
160,2518,31
161,1969,29
162,1923,27
163,2166,37
164,3696,47
165,2985,21
166,43,24
167,171,31
168,2093,24
169,2377,23
170,2615,109
171,2807,7
172,3470,219
173,1096,244
174,3862,13
175,3916,37
176,2453,15
177,2900,15
178,1128,357
179,2915,202
180,732,22
181,3252,3
182,1640,74
183,80,51
184,592,479
185,2761,806
186,2682,225
187,2958,589
188,2501,83
189,3300,49
190,1260,25
191,967,20
192,3023,9
193,1206,436
194,1283,188
195,2159,183
196,921,22
197,110,180
198,2705,468
199,3407,50
200,2709,296
201,2621,23
202,2368,18
203,1027,32
204,3315,26
205,3477,3
206,1664,54
207,2337,78
208,3453,5
209,134,18
210,1372,67
211,496,35
212,3387,22
213,3868,27
214,3396,30
215,1270,52
216,2021,15
217,332,174
218,1123,5
219,3752,299
220,3159,694
221,3511,146
222,3509,193
223,3896,112
224,3754,147
225,3175,597
226,2907,297
227,2288,412
228,245,51
229,2870,3
230,1253,12
231,2920,16
232,2779,6
233,3035,34
234,949,6
235,1208,2
236,2725,36
237,2432,392
238,33,118
239,2192,167
240,2663,136
241,2803,75
242,909,65
243,1572,198
244,3577,342
245,3578,216
246,3480,111
247,2715,26
248,3197,144
249,3701,155
250,501,37
251,1463,4
252,2403,4
253,516,14
254,2270,1
255,2109,1
256,2614,5
257,1473,2
258,88,18
259,3178,456
260,3533,311
261,2335,55
262,2974,95
263,3152,6
264,964,3
265,3737,8
266,3012,6
267,2896,23
268,1124,21
269,1669,3
270,2211,2
271,3542,38
272,3004,232
273,2882,41
274,1731,111
275,1896,3
276,234,24
277,1059,8
278,499,110
279,3386,22
280,1258,61
281,342,56
282,3145,6
283,3114,5
284,3510,43
285,2490,32
286,2554,7
287,3702,46
288,2639,111
289,3417,88
290,379,82
291,1703,64
292,355,538
293,589,24
294,2092,24
295,3838,35
296,890,66
297,3234,2
298,412,12
299,784,91
300,2393,47
301,1512,27
302,2700,3
303,315,246
304,2114,32
305,1634,18
306,2839,34
307,3340,80
308,1528,3
309,3555,4
310,3451,14
311,3052,28
312,1060,3
313,44,18
314,3517,3
315,1188,18
316,1291,57
317,1130,4
318,247,3
319,2566,40
320,1396,9
321,779,124
322,1224,119
323,2580,40
324,690,128
325,3051,70
326,2573,21
327,1067,65
328,1947,84
329,3066,43
330,1233,17
331,2914,58
332,968,72
333,647,173
334,3623,52
335,3353,243
336,3361,42
337,1017,89
338,1910,65
339,47,8
340,1587,34
341,1281,3
342,1029,13
343,782,3
344,1366,11
345,3146,247
346,3622,331
347,456,166
348,591,97
349,2860,1
350,3325,8
351,735,18
352,3260,13
353,1706,7
354,51,22
355,3298,8
356,19,15
357,2267,29
358,749,93
359,1632,29
360,2247,51
361,1675,65
362,2057,53
363,291,28
364,730,38
365,1072,77
366,3670,41
367,931,5
368,1277,31
369,3503,60
370,2948,25
371,1298,76
372,1271,5
373,3061,13
374,3744,45
375,3408,63
376,2731,39
377,1373,59
378,2984,67
379,1956,90
380,2143,36
381,1212,51
382,3787,1
383,3723,4
384,3547,66
385,49,97
386,2389,32
387,143,14
388,2290,43
389,1293,147
390,1952,57
391,2202,39
392,607,313
393,2880,6
394,2082,55
395,919,75
396,3113,68
397,1032,3
398,2604,83
399,152,20
400,798,4
401,2119,12
402,338,29
403,3099,55
404,473,7
405,3147,29
406,61,23
407,3613,3
408,1441,4
409,684,4
410,179,12
411,2656,12
412,2706,101
413,1999,16
414,1211,66
415,1390,55
416,493,47
417,1701,37
418,2008,39
419,1590,4
420,2332,20
421,2661,9
422,3947,18
423,2986,12
424,3915,11
425,3395,86
426,2132,9
427,1408,15
428,913,30
429,3173,52
430,2406,12
431,1126,9
432,2014,12
433,2946,62
434,2053,14
435,2328,121
436,3892,1
437,2193,113
438,3100,2
439,3261,5
440,2815,10
441,2943,37
442,3103,84
443,3081,121
444,2104,14
445,2392,15
446,1357,28
447,1182,71
448,1119,23
449,1679,45
450,534,4
451,1203,8
452,1721,4
453,1135,20
454,3592,31
455,2825,18
456,2795,27
457,3728,15
458,673,6
459,2263,3
460,2522,6
461,463,10
462,1264,304
463,1083,28
464,2994,13
465,343,11
466,836,3
467,18,6
468,215,19
469,484,14
470,1042,5
471,3255,77
472,939,20
473,1268,27
474,1034,10
475,3106,95
476,3551,59
477,3053,51
478,3674,12
479,2489,19
480,24,12
481,3088,8
