,ids,exp
0,1167,1473
1,3248,699
2,378,885
3,1284,771
4,6133,1432
5,2576,522
6,5353,1799
7,2318,817
8,2305,1298
9,2619,146
10,6482,285
11,6217,299
12,345,1584
13,4022,299
14,4007,3137
15,3301,448
16,6460,613
17,5064,62
18,4938,329
19,3006,740
20,2206,35
21,4498,25
22,6207,37
23,6566,24
24,3926,26
25,3432,31
26,2050,787
27,5598,193
28,6531,187
29,3803,192
30,521,772
31,3902,658
32,5808,109
33,5142,1258
34,5802,596
35,3627,518
36,4725,194
37,505,3153
38,1199,949
39,4543,379
40,4023,1038
41,333,1347
42,2116,745
43,4331,1328
44,4999,1377
45,4966,390
46,6033,1013
47,4865,894
48,1159,944
49,1051,1616
50,354,186
51,5676,561
52,4738,1182
53,5256,983
54,1227,1183
55,5252,760
56,485,337
57,1643,1343
58,3961,555
59,5613,990
60,5892,297
61,158,535
62,3696,1164
63,819,682
64,626,940
65,5681,838
66,5945,537
67,6337,340
68,370,606
69,1077,611
70,4227,667
71,3728,497
72,3972,83
73,2122,130
74,2823,79
75,6316,103
76,5343,113
77,2956,73
78,2895,64
79,4279,735
80,672,204
81,2943,138
82,456,42
83,1777,119
84,5768,73
85,2348,112
86,5668,48
87,3223,114
88,327,583
89,4737,247
90,2896,58
91,525,69
92,2814,577
93,128,110
94,1790,477
95,4721,370
96,820,409
97,1002,30
98,2967,619
99,6435,32
100,6444,798
101,824,662
102,3717,380
103,1720,544
104,389,52
105,6315,624
106,5993,331
107,3016,569
108,3420,477
109,4900,648
110,5590,42
111,2782,66
112,559,93
113,4575,271
114,6452,144
115,325,136
116,217,184
117,5520,130
118,4847,72
119,5717,239
120,612,131
121,4996,431
122,5273,344
123,3413,26
124,6355,128
125,2655,324
126,3899,221
127,5242,425
128,4962,25
129,1782,1027
130,3808,2862
131,1559,1660
132,1622,855
133,4478,288
134,6345,339
135,5172,1374
136,4451,579
137,55,482
138,5782,1229
139,3364,928
140,1525,1447
141,1291,696
142,4332,847
143,10,233
144,6220,337
145,429,729
146,6137,359
147,3786,52
148,4011,888
149,6116,26
150,649,24
151,5736,28
152,5128,317
153,5822,411
154,3489,59
155,4497,24
156,4925,194
157,2283,16
158,1440,935
159,2996,71
160,2844,54
161,2632,60
162,4481,32
163,2776,509
164,6091,302
165,5463,29
166,3873,508
167,3789,308
168,4371,491
169,3759,63
170,2173,184
171,5476,316
172,5582,299
173,1067,124
174,2546,70
175,1311,253
176,4119,356
177,408,36
178,2151,187
179,1180,379
180,1078,551
181,3778,55
182,3458,13
183,1538,610
184,933,801
185,3096,904
186,3658,54
187,1541,34
188,635,233
189,5237,34
190,1573,1456
191,4239,706
192,5040,149
193,910,1732
194,4068,97
195,2077,174
196,311,883
197,6281,454
198,4713,720
199,1370,158
200,5551,124
201,1769,1499
202,2115,64
203,857,189
204,5840,392
205,2323,86
206,1664,49
207,1352,169
208,3151,124
209,3026,131
210,4353,13
211,1691,42
212,5490,59
213,4764,33
214,746,150
215,5065,19
216,1153,65
217,4466,82
218,5517,139
219,4846,54
220,4258,17
221,3973,33
222,1087,39
223,4399,20
224,1398,18
225,5210,15
226,3918,24
227,3753,36
228,1329,55
229,2606,38
230,2470,30
231,4854,655
232,4646,296
233,3848,55
234,6085,1128
235,5555,250
236,6567,251
237,6406,289
238,1095,29
239,22,727
240,884,187
241,5708,394
242,5001,37
243,3073,598
244,4845,418
245,4372,547
246,771,225
247,2303,409
248,4002,1343
249,4933,205
250,5569,350
251,5357,922
252,640,886
253,6580,288
254,4600,331
255,4516,189
256,391,307
257,3494,448
258,675,600
259,5502,213
260,4843,144
261,803,103
262,960,75
263,4345,23
264,2372,1360
265,3547,1953
266,27,1474
267,3335,342
268,5605,719
269,2156,126
270,952,77
271,4224,413
272,3371,184
273,3884,644
274,1221,694
275,6018,838
276,1463,1099
277,5748,189
278,4616,88
279,5884,51
280,3242,182
281,3642,149
282,81,149
283,1086,281
284,5373,306
285,2328,291
286,1580,148
287,1670,173
288,3212,355
289,2093,310
290,1540,76
291,430,57
292,1213,24
293,5338,14
294,6352,41
295,6029,121
296,4610,216
297,5738,146
298,1008,137
299,2406,275
300,2589,46
301,36,48
302,1681,50
303,5620,11
304,5432,11
305,6436,24
306,3297,72
307,3555,46
308,2187,71
309,528,42
310,4329,72
311,85,2136
312,6431,165
313,1828,39
314,5214,37
315,6481,36
316,4460,46
317,5599,40
318,2627,37
319,1421,68
320,2772,43
321,6516,165
322,3036,253
323,979,110
324,3493,429
325,1895,76
326,351,472
327,4529,538
328,6425,670
329,6389,1030
330,202,1302
331,1567,200
332,5570,351
333,4997,325
334,1501,20
335,6467,430
336,3254,627
337,1963,716
338,4736,54
339,1638,34
340,1731,50
341,6007,197
342,4032,138
343,108,50
344,4653,1167
345,2483,66
346,1857,47
347,5499,61
348,4827,33
349,368,209
350,4078,358
351,3357,241
352,4290,284
353,3556,84
354,3046,204
355,3624,1148
356,3845,85
357,2557,1226
358,2007,1338
359,6363,78
360,509,1142
361,3522,1306
362,230,1201
363,5333,91
364,3279,216
365,5850,143
366,1343,151
367,1660,167
368,2408,191
369,1342,126
370,777,294
371,5739,293
372,2585,130
373,1835,576
374,3797,89
375,1294,512
376,5950,592
377,6048,514
378,668,140
379,344,97
380,4890,1112
381,4942,87
382,2342,910
383,1186,443
384,4223,930
385,4154,1108
386,3190,482
387,1604,121
388,3855,167
389,4971,248
390,5509,14
391,2976,76
392,1163,43
393,5507,89
394,828,18
395,921,142
396,1449,154
397,5813,40
398,393,175
399,2450,138
400,5549,66
401,2179,180
402,2528,17
403,2210,180
404,4536,112
405,5115,19
406,1807,166
407,2672,128
408,3226,206
409,244,181
410,3321,205
411,312,211
412,1400,140
413,1738,552
414,3777,470
415,5118,387
416,107,361
417,2880,85
418,5757,72
419,3495,160
420,2223,194
421,690,360
422,4594,432
423,4864,177
424,5772,1305
425,520,314
426,5511,391
427,2349,63
428,5470,161
429,448,130
430,1715,428
431,4507,297
432,1388,42
433,3641,363
434,1707,44
435,4953,89
436,2995,53
437,870,86
438,1182,86
439,5933,24
440,3298,74
441,6245,76
442,1727,60
443,4927,114
444,688,60
445,1511,70
446,1804,77
447,2213,40
448,5777,68
449,2452,39
450,2317,16
451,5201,121
452,4447,27
453,585,423
454,4571,83
455,3338,50
456,3375,208
457,6328,70
458,5705,145
459,1296,801
460,3227,9
461,3976,497
462,3872,91
463,4998,19
464,5695,89
465,1534,351
466,5207,20
467,4608,247
468,5472,461
469,6522,91
470,1606,392
471,4165,221
472,4106,489
473,916,240
474,2620,49
475,5701,700
476,1395,47
477,2426,55
478,3761,73
479,3259,54
480,5229,27
481,3407,318
482,4328,59
483,4220,724
484,5536,75
485,946,457
486,3854,16
487,3982,223
488,4883,17
489,3609,209
490,5489,418
491,2383,25
492,5058,29
493,468,35
494,1135,704
495,6364,775
496,759,544
497,285,602
498,2717,442
499,3245,491
500,5296,118
501,3666,603
502,4112,161
503,2786,235
504,1551,233
505,5529,357
506,255,285
507,5356,718
508,667,538
509,5872,930
510,4377,331
511,372,183
512,1880,353
513,4518,117
514,41,102
515,1962,5
516,2952,79
517,951,1436
518,2554,22
519,4597,77
520,3838,136
521,1972,65
522,3144,184
523,962,76
524,350,67
525,987,539
526,3209,198
527,1826,224
528,2444,121
529,6378,267
530,2145,670
531,4980,106
532,2764,58
533,5875,9
534,998,104
535,904,105
536,5714,47
537,3124,29
538,6448,19
539,1379,102
540,4952,15
541,3177,53
542,135,57
543,2660,40
544,2493,70
