,ids,exp
0,2639,95
1,2453,40
2,2392,65
3,2010,90
4,3698,23
5,3174,221
6,1526,86
7,1908,74
8,2287,63
9,2362,11
10,356,120
11,38,175
12,1187,35
13,1093,184
14,1295,57
15,1673,103
16,932,25
17,898,54
18,27,3
19,1642,32
20,3751,93
21,3750,83
22,3805,2
23,3781,3
24,3800,12
25,3797,28
26,3642,10
27,3783,4
28,3407,211
29,2022,29
30,479,423
31,109,378
32,348,84
33,1239,232
34,1199,148
35,1197,251
36,1290,180
37,1269,485
38,295,349
39,923,159
40,2967,52
41,2192,53
42,1579,520
43,1274,35
44,1213,277
45,2915,204
46,918,356
47,355,384
48,2301,60
49,0,336
50,1135,232
51,2857,985
52,1568,138
53,2395,318
54,3254,100
55,1946,48
56,3362,25
57,3450,6
58,3547,12
59,1251,155
60,2351,70
61,1379,59
62,3151,20
63,1195,389
64,1192,406
65,1096,456
66,911,411
67,919,180
68,317,577
69,1999,147
70,1258,278
71,2715,432
72,3038,36
73,1662,38
74,3607,84
75,2370,20
76,1196,411
77,3525,35
78,1543,167
79,1607,66
80,328,64
81,1376,59
82,1374,67
83,1370,72
84,1205,55
85,1372,50
86,1306,155
87,1720,138
88,1638,50
89,3099,26
90,3251,48
91,787,45
92,1484,46
93,588,257
94,1551,69
95,2320,142
96,2035,8
97,1776,131
98,2081,38
99,441,35
100,2095,52
101,2564,26
102,913,86
103,1072,125
104,2079,68
105,2077,19
106,2986,319
107,2627,288
108,607,511
109,1085,56
110,1233,53
111,540,207
112,259,401
113,1283,139
114,1952,32
115,857,267
116,2570,301
117,1609,146
118,2947,91
119,2187,46
120,2825,62
121,2769,212
122,2540,51
123,1224,198
124,2354,271
125,1319,51
126,2598,231
127,344,40
128,2419,22
129,2002,60
130,2108,21
131,2716,47
132,3252,137
133,1219,86
134,2173,139
135,2734,26
136,3524,25
137,1246,216
138,1027,62
139,1087,55
140,1954,15
141,903,151
142,3081,96
143,3551,99
144,3488,53
145,1332,39
146,16,116
147,1392,211
148,533,21
149,149,141
150,530,25
151,1270,38
152,2139,36
153,3792,66
154,1281,111
155,2709,224
156,2700,123
157,2761,424
158,907,354
159,1624,17
160,292,61
161,453,60
162,902,114
163,589,189
164,2958,167
165,1178,93
166,456,139
167,2996,508
168,44,17
169,2711,96
170,1262,16
171,3071,65
172,538,100
173,439,62
174,837,33
175,2647,36
176,1386,298
177,1257,61
178,1981,34
179,1344,34
180,2159,47
181,2454,105
182,2643,26
183,1218,88
184,3498,37
185,1209,453
186,376,167
187,1388,5
188,3704,1
189,2001,46
190,3707,9
191,2099,91
192,172,48
193,1035,163
194,3702,68
195,2365,68
196,1241,38
197,2290,176
198,1170,28
199,921,97
200,3916,10
201,3017,7
202,9,164
203,1791,9
204,732,114
205,291,84
206,1596,66
207,94,14
208,152,60
209,2352,106
210,2472,3
211,2380,4
212,412,12
213,3808,28
214,103,22
215,2803,134
216,1616,564
217,3393,13
218,592,408
219,526,446
220,3147,26
221,3449,97
222,1783,128
223,1640,68
224,2394,111
225,2699,106
226,744,29
227,1996,48
228,3475,41
229,967,75
230,1260,16
231,1345,4
232,2516,15
233,3333,49
234,3434,23
235,912,88
236,941,22
237,1731,108
238,2065,7
239,2939,19
240,1259,12
241,1906,43
242,33,372
243,2293,55
244,1021,54
245,2880,108
246,2723,62
247,2080,124
248,3202,33
249,2738,8
250,6,30
251,777,40
252,1716,18
253,2332,53
254,2580,35
255,1512,82
256,2008,32
257,3526,86
258,749,132
259,1960,49
260,1681,56
261,3107,37
262,3711,3
263,2952,36
264,1922,61
265,1393,155
266,1710,26
267,2925,18
268,3397,2
269,3896,104
270,3892,52
271,3509,87
272,2790,277
273,3862,26
274,1672,115
275,3159,113
276,2858,6
277,2691,187
278,3006,9
279,3005,166
280,175,2
281,245,81
282,2288,72
283,171,25
284,1916,123
285,1203,71
286,207,24
287,1302,2
288,3503,29
289,2423,81
290,2687,94
291,379,137
292,2604,126
293,2905,4
294,2984,100
295,3032,65
296,1214,36
297,2745,62
298,31,75
299,3709,19
300,2845,19
301,807,19
302,2122,20
303,2504,9
304,2474,7
305,2310,16
306,2895,1
307,1608,6
308,1366,15
309,2405,99
310,2404,41
311,652,23
312,968,77
313,265,63
314,3926,31
315,3927,38
316,1326,37
317,3925,24
318,2682,269
319,409,55
320,2132,9
321,2123,44
322,1229,145
323,1261,69
324,2377,24
325,2415,5
326,2403,11
327,2470,11
328,2786,3
329,1126,235
330,2907,161
331,3577,215
332,2721,78
333,2698,184
334,2840,18
335,1,40
336,2406,67
337,2982,3
338,596,67
339,2632,5
340,1590,57
341,1029,16
342,2033,12
343,1958,27
344,2134,3
345,1013,2
346,2705,253
347,784,175
348,1092,77
349,3762,26
350,3734,13
351,3705,23
352,49,319
353,3763,9
354,2368,73
355,1993,85
356,1264,317
357,550,88
358,2027,526
359,2144,52
360,1172,3
361,1198,60
362,3417,92
363,1294,14
364,2941,14
365,508,23
366,1390,64
367,1355,92
368,1830,41
369,434,29
370,164,83
371,735,103
372,363,155
373,523,102
374,1020,15
375,3145,14
376,718,2
377,541,5
378,3263,24
379,1886,1
380,1498,6
381,3391,1
382,885,7
383,2796,149
384,1089,87
385,2914,39
386,2247,77
387,3360,44
388,10,66
389,914,28
390,915,30
391,851,30
392,604,21
393,897,77
394,1079,28
395,69,78
396,1953,43
397,3069,9
398,2990,24
399,2571,117
400,2554,15
401,2484,38
402,3113,110
403,2718,37
404,316,41
405,1008,6
406,23,16
407,1221,51
408,2528,84
409,222,156
410,3480,152
411,2685,34
412,2117,24
413,3185,12
414,3155,8
415,3128,26
416,2860,17
417,3156,28
418,260,11
419,3237,8
420,20,58
421,2917,119
422,2104,55
423,2640,20
424,1284,23
425,473,38
426,534,22
427,2393,64
428,2706,15
429,349,23
430,3614,7
431,782,34
432,1011,1
433,2000,59
434,2616,107
435,1099,5
436,1561,36
437,2005,55
438,2615,11
439,1373,186
440,2870,17
441,3259,55
442,230,37
443,366,88
444,584,10
445,371,19
446,1253,56
447,1266,130
448,950,28
449,944,19
450,1206,101
451,3670,82
452,3420,57
453,3423,34
454,46,89
455,3554,75
456,3175,183
457,627,13
458,1703,227
459,1207,52
460,922,136
461,779,193
462,1721,56
463,1031,21
464,910,17
465,2686,21
466,3033,25
467,1565,26
468,2760,60
469,2017,17
470,1212,255
471,2193,34
472,3255,62
473,591,86
474,1369,124
475,1652,56
476,315,74
477,1747,64
478,2170,12
479,2670,31
480,3784,22
481,2628,4
482,63,1
483,3256,44
484,661,1
485,1752,9
486,2057,21
487,2143,68
488,672,11
489,70,3
490,537,5
491,3297,90
492,3754,47
493,1034,136
494,1091,25
495,338,53
496,2874,11
497,1644,56
498,1088,90
499,3497,6
500,3542,91
501,3447,50
502,365,17
503,2337,12
504,2994,17
505,594,93
506,1028,20
507,2160,25
508,1966,32
509,3470,148
510,3634,5
511,3039,4
512,1296,8
513,3929,28
514,3408,29
515,3931,17
516,1969,22
517,2579,32
518,1343,14
519,2950,18
520,3590,59
521,1078,93
522,2794,31
523,3209,81
524,1134,14
525,1967,119
526,1957,8
527,3729,20
528,1949,48
529,945,1
530,2871,13
531,3110,5
532,246,23
533,1248,26
534,1040,66
535,35,64
536,3622,94
537,3173,43
538,3004,86
539,1349,37
540,1277,97
541,1059,16
542,234,72
543,1516,73
544,1227,58
545,2582,5
546,1303,180
547,2966,4
548,3507,13
549,2943,43
550,1357,79
551,985,14
552,2693,70
553,2383,21
554,2427,38
555,272,9
556,878,3
557,2166,28
